,0
537,Doherty
538,Doherty
539,Doherty
540,Doherty
541,Doherty
542,Doherty
543,Doherty
544,Doherty
545,Doherty
546,Doherty
547,Doherty
548,Doherty
549,Doherty
550,
551,Doherty
552,Doherty
553,Doherty
554,Doherty
555,Doherty
556,Doherty
557,Doherty
558,Doherty
559,Doherty
560,Doherty
561,Doherty
562,Doherty
563,Doherty
564,
565,
566,
567,Doherty
568,Doherty
569,Doherty
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,Doherty
581,
582,
583,
584,
585,
586,
587,
588,Doherty
589,Doherty
590,Doherty
591,Doherty
592,Doherty
593,Doherty
594,Doherty
595,Doherty
596,Doherty
597,
598,Doherty
599,Doherty
600,
601,
602,
603,
604,
605,Doherty
606,Doherty
607,Doherty
608,Doherty
609,Doherty
610,
611,Doherty
612,Doherty
613,Doherty
614,Doherty
615,Doherty
616,
617,Doherty
618,Doherty
619,Doherty
620,Doherty
621,Doherty
622,Doherty
623,Doherty
624,
625,Doherty
626,Doherty
627,Doherty
628,Doherty
629,Doherty
630,Doherty
631,Doherty
632,Doherty
633,Doherty
634,Doherty
635,Doherty
636,Doherty
637,Doherty
638,Doherty
639,Doherty
640,
641,Doherty
642,Doherty
643,Doherty
644,Doherty
645,Doherty
646,Doherty
647,Doherty
648,Doherty
649,Doherty
650,Doherty
651,Doherty
652,Doherty
653,Doherty
654,Doherty
655,Doherty
656,Doherty
657,Doherty
658,Doherty
659,Doherty
660,Doherty
661,Doherty
662,Doherty
663,Doherty
664,Doherty
665,Doherty
666,Doherty
667,
668,Doherty
669,Doherty
670,Doherty
671,Doherty
672,Doherty
673,Doherty
674,
675,
676,Doherty
677,Doherty
678,Doherty
679,Doherty
680,Doherty
681,Doherty
682,Doherty
683,Doherty
684,Doherty
685,
686,Doherty
687,Doherty
688,Doherty
689,Doherty
690,Doherty
691,Doherty
692,Doherty
693,Doherty
694,Doherty
695,Doherty
696,Doherty
697,Doherty
698,Doherty
699,
700,
701,
702,
703,
704,
705,
706,Doherty
707,Doherty
708,Doherty
709,Doherty
710,Doherty
711,Doherty
712,
713,
714,
715,
716,
717,Doherty
718,Doherty
719,
720,Doherty
721,Doherty
722,
723,
724,Doherty
725,Doherty
726,Doherty
727,Doherty
728,Doherty
729,Doherty
730,Doherty
731,Doherty
732,Doherty
733,Doherty
734,Doherty
735,Doherty
736,Doherty
737,Doherty
738,Doherty
739,Doherty
740,Doherty
741,Doherty
742,Doherty
743,Doherty
744,Doherty
745,Doherty
746,Doherty
747,Doherty
748,Doherty
749,Doherty
750,Doherty
751,Doherty
752,Doherty
753,Doherty
754,
755,
756,Doherty
757,Doherty
758,Doherty
759,Doherty
760,Doherty
761,Doherty
762,Doherty
763,Doherty
764,
765,
766,
767,Doherty
768,Doherty
769,Doherty
770,Doherty
771,Doherty
772,
773,Doherty
774,Doherty
775,Doherty
776,Doherty
777,
778,
779,
780,
781,
782,
783,
784,Doherty
785,
786,
787,
788,
789,
790,
791,Doherty
792,Doherty
793,Doherty
794,Doherty
795,Doherty
796,Doherty
797,Doherty
798,
799,
800,Doherty
801,
802,
803,
804,Doherty
805,Doherty
806,
807,Doherty
808,Doherty
809,Doherty
810,Doherty
811,Doherty
812,Doherty
813,Doherty
814,Doherty
815,Doherty
816,
817,Doherty
818,Doherty
819,Doherty
820,
821,Doherty
822,Doherty
823,Doherty
824,Doherty
825,
826,
827,
828,Doherty
829,Doherty
830,Doherty
831,Doherty
832,
833,
834,
835,
836,
837,
838,
839,
840,
841,
842,Doherty
843,Doherty
844,Doherty
845,Doherty
846,Doherty
847,
848,Doherty
849,Doherty
850,Doherty
851,Doherty
852,
853,
854,Doherty
855,Doherty
856,Doherty
857,Doherty
858,Doherty
859,
860,Doherty
861,Doherty
862,Doherty
863,Doherty
864,
865,
866,
867,
868,Doherty
869,
870,
871,
872,
873,Doherty
874,Doherty
875,
876,
877,
878,
879,
880,
881,Doherty
882,Doherty
883,Doherty
884,Doherty
885,Doherty
886,Doherty
887,Doherty
888,Doherty
889,Doherty
890,Doherty
891,Doherty
892,
893,
894,Doherty
895,Doherty
896,Doherty
897,Doherty
898,
899,Doherty
900,
901,Doherty
902,Doherty
903,Doherty
904,Doherty
905,Doherty
906,Doherty
907,
908,
909,Doherty
910,
911,Doherty
912,Doherty
913,Doherty
914,
915,
916,
917,Doherty
918,Doherty
919,Doherty
920,
921,
922,
923,
924,Doherty
925,
926,
927,Doherty
928,
929,
930,
931,Doherty
932,Doherty
933,Doherty
934,Doherty
935,Doherty
936,Doherty
937,Doherty
938,Doherty
939,Doherty
940,Doherty
941,Doherty
942,Doherty
943,Doherty
944,Doherty
945,Doherty
946,Doherty
947,Doherty
948,Doherty
949,Doherty
950,
951,Doherty
952,Doherty
953,Doherty
954,Doherty
955,Doherty
956,Doherty
957,Doherty
958,Doherty
959,Doherty
960,Doherty
961,Doherty
962,Doherty
963,Doherty
964,Doherty
965,Doherty
966,Doherty
967,Doherty
968,Doherty
969,Doherty
970,Doherty
971,Doherty
972,Doherty
973,Doherty
974,Doherty
975,Doherty
976,Doherty
977,Doherty
978,Doherty
979,Doherty
980,Doherty
981,Doherty
982,Doherty
983,Doherty
984,Doherty
985,Doherty
986,Doherty
987,
988,Doherty
989,Doherty
990,
991,Doherty
992,Doherty
993,
994,
995,Doherty
996,
997,Doherty
998,Doherty
999,
1000,Doherty
1001,Doherty
1002,Doherty
1003,
1004,
1005,
1006,Doherty
1007,Doherty
1008,Doherty
1009,Doherty
1010,Doherty
1011,Doherty
1012,Doherty
1013,Doherty
1014,Doherty
1015,
1016,
1017,Doherty
1018,Doherty
1019,Doherty
1020,Doherty
1021,Doherty
1022,Doherty
1023,
1024,Doherty
1025,Doherty
1026,Doherty
1027,
1028,
1029,Doherty
1030,Doherty
1031,Doherty
1032,Doherty
1033,Doherty
1034,
1035,Doherty
1036,Doherty
1037,
1038,Doherty
1039,
1040,
1041,
1042,
1043,Doherty
1044,Doherty
1045,Doherty
1046,Doherty
1047,Doherty
1048,Doherty
1049,Doherty
1050,Doherty
1051,Doherty
1052,Doherty
1053,Doherty
1054,Doherty
1055,Doherty
1056,Doherty
1057,Doherty
1058,Doherty
1059,Doherty
1060,Doherty
1061,Doherty
1062,Doherty
1063,Doherty
1064,Doherty
1065,Doherty
1066,Doherty
1067,Doherty
1068,Doherty
1069,Doherty
1070,Doherty
1071,Doherty
1072,Doherty
1073,Doherty
1074,Doherty
1075,Doherty
1076,Doherty
1077,Doherty
1078,Doherty
1079,Doherty
1080,Doherty
1081,Doherty
1082,Doherty
1083,Doherty
1084,Doherty
1085,Doherty
1086,Doherty
1087,Doherty
1088,Doherty
1089,Doherty
1090,Doherty
1091,Doherty
1092,Doherty
1093,Doherty
1094,Doherty
1095,Doherty
1096,Doherty
1097,
1098,Doherty
1099,Doherty
1100,
1101,
1102,
1103,
1104,
1105,
1106,Doherty
1107,Doherty
1108,Doherty
1109,Doherty
1110,Doherty
1111,Doherty
1112,
1113,
1114,
1115,
1116,
1117,Doherty
1118,Doherty
1119,
1120,Doherty
1121,Doherty
1122,
1123,
1124,Doherty
1125,Doherty
1126,Doherty
1127,Doherty
1128,Doherty
1129,Doherty
1130,Doherty
1131,Doherty
1132,Doherty
1133,Doherty
1134,Doherty
1135,Doherty
1136,Doherty
1137,Doherty
1138,Doherty
1139,Doherty
1140,Doherty
1141,Doherty
1142,Doherty
1143,Doherty
1144,Doherty
1145,Doherty
1146,Doherty
1147,Doherty
1148,Doherty
1149,Doherty
1150,Doherty
1151,Doherty
1152,Doherty
1153,Doherty
1154,
1155,
1156,Doherty
1157,Doherty
1158,Doherty
1159,Doherty
1160,Doherty
1161,Doherty
1162,Doherty
1163,Doherty
1164,
1165,
1166,
1167,Doherty
1168,Doherty
1169,Doherty
1170,Doherty
1171,Doherty
1172,
1173,Doherty
1174,Doherty
1175,Doherty
1176,Doherty
1177,
1178,
1179,
1180,
1181,
1182,
1183,
1184,Doherty
1185,
1186,
1187,
1188,
1189,
1190,
1191,Doherty
1192,Doherty
1193,Doherty
1194,Doherty
1195,Doherty
1196,Doherty
1197,Doherty
1198,
1199,
1200,Doherty
1201,
1202,
1203,Doherty
1204,
1205,Doherty
1206,Doherty
1207,Doherty
1208,Doherty
1209,
1210,Doherty
1211,Doherty
1212,
1213,Doherty
1214,
1215,Doherty
1216,
1217,
1218,Doherty
1219,
1220,Doherty
1221,Doherty
1222,Doherty
1223,Doherty
1224,Doherty
1225,Doherty
1226,Doherty
1227,Doherty
1228,Doherty
1229,Doherty
1230,Doherty
1231,Doherty
1232,Doherty
1233,Doherty
1234,Doherty
1235,Doherty
1236,Doherty
1237,Doherty
1238,Doherty
1239,Doherty
1240,Doherty
1241,Doherty
1242,Doherty
1243,Doherty
1244,Doherty
1245,Doherty
1246,Doherty
1247,Doherty
1248,Doherty
1249,Doherty
1250,Doherty
1251,Doherty
1252,Doherty
1253,Doherty
1254,Doherty
1255,Doherty
1256,Doherty
1257,Doherty
1258,Doherty
1259,Doherty
1260,Doherty
1261,Doherty
1262,Doherty
1263,Doherty
1264,Doherty
1265,Doherty
1266,Doherty
1267,Doherty
1268,Doherty
1269,Doherty
1270,
1271,Doherty
1272,
1273,Doherty
1274,
1275,
1276,
1277,
1278,Doherty
1279,Doherty
1280,Doherty
1281,Doherty
1282,Doherty
1283,Doherty
1284,Doherty
1285,Doherty
1286,Doherty
1287,Doherty
1288,Doherty
1289,Doherty
1290,Doherty
1291,Doherty
1292,Doherty
1293,
1294,
1295,
1296,
1297,Doherty
1298,Doherty
1299,Doherty
1300,Doherty
1301,Doherty
1302,Doherty
1303,Doherty
1304,Doherty
1305,Doherty
1306,Doherty
1307,Doherty
1308,Doherty
1309,Doherty
1310,
1311,
1312,Doherty
1313,
1314,
1315,
1316,
1317,
1318,
1319,
1320,
1321,Doherty
1322,Doherty
1323,
1324,
1325,Doherty
1326,Doherty
1327,
1328,Doherty
1329,Doherty
1330,Doherty
1331,Doherty
1332,
1333,Doherty
1334,Doherty
1335,Doherty
1336,Doherty
1337,
1338,Doherty
1339,Doherty
1340,Doherty
1341,
1342,
1343,Doherty
1344,Doherty
1345,
1346,
1347,Doherty
1348,
1349,Doherty
1350,Doherty
1351,Doherty
1352,Doherty
1353,
1354,
1355,Doherty
1356,Doherty
1357,Doherty
1358,Doherty
1359,Doherty
1360,Doherty
1361,Doherty
1362,
1363,Doherty
1364,
1365,Doherty
1366,
1367,
1368,
1369,Doherty
1370,Doherty
1371,Doherty
1372,Doherty
1373,
1374,
1375,Doherty
1376,Doherty
1377,Doherty
1378,
1379,Doherty
1380,Doherty
1381,
1382,Doherty
1383,Doherty
1384,Doherty
1385,
1386,Doherty
1387,Doherty
1388,Doherty
1389,
1390,Doherty
1391,
1392,Doherty
1393,Doherty
1394,Doherty
1395,
1396,
1397,
1398,
1399,
1400,
1401,Doherty
1402,
1403,
1404,
1405,Doherty
1406,Doherty
1407,Doherty
1408,Doherty
1409,Doherty
1410,Doherty
1411,Doherty
1412,Doherty
1413,Doherty
1414,Doherty
1415,Doherty
1416,Doherty
1417,Doherty
1418,Doherty
1419,Doherty
1420,Doherty
1421,Doherty
1422,Doherty
1423,Doherty
1424,Doherty
1425,Doherty
1426,Doherty
1427,Doherty
1428,Doherty
1429,Doherty
1430,Doherty
1431,Doherty
1432,
1433,Doherty
1434,Doherty
1435,Doherty
1436,
1437,Doherty
1438,Doherty
1439,Doherty
1440,Doherty
1441,Doherty
1442,Doherty
1443,Doherty
1444,Doherty
1445,Doherty
1446,Doherty
1447,Doherty
1448,Doherty
1449,Doherty
1450,Doherty
1451,Doherty
1452,Doherty
1453,Doherty
1454,Doherty
1455,Doherty
1456,Doherty
1457,Doherty
1458,Doherty
1459,Doherty
1460,Doherty
1461,Doherty
1462,Doherty
1463,Doherty
1464,Doherty
1465,Doherty
1466,Doherty
1467,Doherty
1468,Doherty
1469,Doherty
1470,Doherty
1471,Doherty
1472,Doherty
1473,Doherty
1474,Doherty
1475,Doherty
1476,Doherty
1477,Doherty
1478,Doherty
1479,Doherty
1480,Doherty
1481,Doherty
1482,Doherty
1483,Doherty
1484,Doherty
1485,Doherty
1486,Doherty
1487,Doherty
1488,Doherty
1489,Doherty
1490,Doherty
1491,Doherty
1492,Doherty
1493,Doherty
1494,Doherty
1495,Doherty
1496,Doherty
1497,Doherty
1498,Doherty
1499,
1500,
1501,
1502,
1503,Doherty
1504,Doherty
1505,Doherty
1506,
1507,Doherty
1508,Doherty
1509,Doherty
1510,Doherty
1511,Doherty
1512,Doherty
1513,Doherty
1514,
1515,Doherty
1516,Doherty
1517,Doherty
1518,
1519,
1520,
1521,Doherty
1522,Doherty
1523,Doherty
1524,Doherty
1525,Doherty
1526,Doherty
1527,Doherty
1528,
1529,
1530,
1531,
1532,
1533,
1534,
1535,
1536,
1537,Doherty
1538,Doherty
1539,Doherty
1540,Doherty
1541,Doherty
1542,Doherty
1543,Doherty
1544,Doherty
1545,Doherty
1546,Doherty
1547,Doherty
1548,Doherty
1549,
1550,
1551,
1552,
1553,
1554,
1555,
1556,
1557,Doherty
1558,Doherty
1559,Doherty
1560,Doherty
1561,
1562,Doherty
1563,Doherty
1564,Doherty
1565,Doherty
1566,Doherty
1567,Doherty
1568,
1569,Doherty
1570,Doherty
1571,Doherty
1572,Doherty
1573,Doherty
1574,Doherty
1575,Doherty
1576,Doherty
1577,Doherty
1578,Doherty
1579,Doherty
1580,Doherty
1581,
1582,
1583,
1584,
1585,
1586,
1587,
1588,
1589,
1590,
1591,Doherty
1592,
1593,
1594,
1595,
1596,
1597,
1598,
1599,
1600,
1601,
1602,
1603,
1604,
1605,Doherty
1606,Doherty
1607,Doherty
1608,Doherty
1609,Doherty
1610,Doherty
1611,Doherty
1612,
1613,Doherty
1614,
1615,
1616,
1617,
1618,
1619,
1620,
1621,Doherty
1622,
1623,
1624,
1625,
1626,
1627,Doherty
1628,Doherty
1629,
1630,
1631,
1632,Doherty
1633,Doherty
1634,Doherty
1635,Doherty
1636,
1637,Doherty
1638,Doherty
1639,
1640,
1641,Doherty
1642,Doherty
1643,Doherty
1644,Doherty
1645,Doherty
1646,Doherty
1647,Doherty
1648,Doherty
1649,
1650,
1651,
1652,
1653,Doherty
1654,Doherty
1655,Doherty
1656,Doherty
1657,Doherty
1658,
1659,Doherty
1660,Doherty
1661,Doherty
1662,Doherty
1663,
1664,
1665,Doherty
1666,Doherty
1667,Doherty
1668,Doherty
1669,Doherty
1670,Doherty
1671,Doherty
1672,Doherty
1673,Doherty
1674,Doherty
1675,Doherty
1676,Doherty
1677,Doherty
1678,Doherty
1679,Doherty
1680,Doherty
1681,Doherty
1682,
1683,Doherty
1684,Doherty
1685,Doherty
1686,Doherty
1687,Doherty
1688,Doherty
1689,Doherty
1690,Doherty
1691,Doherty
1692,Doherty
1693,Doherty
1694,
1695,
1696,
1697,Doherty
1698,
1699,
1700,
1701,
1702,
1703,
1704,
1705,
1706,Doherty
1707,Doherty
1708,Doherty
1709,Doherty
1710,Doherty
1711,Doherty
1712,Doherty
1713,
